userName,score,at,content
Luhur Adi Prasmono,1,2026-05-05 09:43:39,"aplikasi ribet untuk dijalankan, tidak efisien"
Wawan,1,2026-05-05 00:24:43,daftar sdh 2 minggu masih belum dikirim password.di wa hanya suruh menunggu
Rvan Utama,4,2026-05-04 01:30:45,"Banyak yang komentar minus mungkin memang ada menu yang perlu disempurnakan, cuma dulu tahun 2023 KTP hilang urus via app ini sangat sat set das des cuma setengah hari aja dr input syarat surat kehilangan dan KK di app pagi, siang langsung diinfoin oleh app bahwa KTP bs diambil di kecamatan, keren 🔥 tapi sekarang bantuin tetangga kasus yang sama malah menu e-KTP di app sekarang g ada, udh DM, komen IG dan wa semoga segera dapat tanggapan dr adminduk."
Aris Ershi HP,3,2026-04-28 04:43:12,Menu e-ktp kok ga ada
Hendra Maulana,1,2026-04-13 01:31:15,"aplikasi ga jelas , kira kira habis berapa anggaran buat aplikasi ga guna ini ?. panduan tidak lengkap, udah nunggu lama , hasilnya di tolak , ini aplikasi bukan mempermudah warga , tapi meringankan petugasnya biar bisa duduk santai sambil ngobrol"
Mansyur Hidayat,1,2026-04-11 12:53:54,Tidak Membantu Malah Membuat Ribet Udah Daftar Beberapa Kali Selalu STATUS: DITOLAK
Wito Saja,5,2026-04-08 06:17:32,cepet banget prosesnya..2 kali pengjuan karena saya kurang teliti masih ada yang belum saya lengkapi...
Andri Yusia Tarigan,5,2026-04-08 02:58:14,"akhirnya ada peningkatan daripada sebelumnya, proses pindah data keluar daerah cepet juga 1 hari proses selesai. pertahankan. terimakasih"
Tukijo Joe,5,2026-04-07 03:43:07,sangat bagus
Erlan Ridha Iswara,1,2026-04-03 15:45:16,aplikasi GK berguna
Neesha Ajengseptiana,1,2026-03-31 22:41:26,"ini mau login kok susah, padahl NIK dan No KK sudah sesuai. terus gimana datang kesana bisa?"
Danang Nugroho,1,2026-03-30 02:19:31,"Hallo Kak, saya ingin reset password namun saya kehilangan akses ke email dan nomor wasap terdaftar saat pendaftaran akun. Boleh dibantu. terima kasih."
Zafir Satria,1,2026-03-29 02:58:47,daftar aja susah. error terus. gimana mau lanjut?
Romdhon Selamet,2,2026-03-27 04:04:33,"mau pengajuan cetak ulang eKTP yg rusak koq gak ada pilihanya, trs gimana ini caranya"
roiz hidayat,1,2026-03-03 03:37:08,"ribet.. harusnya persyatanannya dari awal di beritahukan.. jadi ndak bolak balik upload, kemudian di berikan contoh pengisisan formulir nya., tidak membantu malah memperlama., mana kadang nunggu sampe 2-3 hari, itupun masi ditolak.. gara2 pengisian salahlah, syarat yg kurang lah.."
Anadz Musakif,1,2026-03-02 08:33:06,"belum bisa cetak lewat aplikasi, tetap harus datang ke tempat dukcapil ( butuh perbaikan supaya di tambah fitur donwload dokumen yang sudah lolos, sama saja bohong daftar lewat aplikasi tapi cetak dokumen harus offline datang ke lokasi tidak bisa donwload dokumen lewat aplikasi ) seperti file bpjs/npwp bisa langsung donwload dokumen lewat aplikasi online, tidak harus datang ke lokasi offline BUTUH PERBAIKAN APLIKASI SI DENOK YANG KATANYA ONLINE BIAR MUDAH"
Diani Novita Sari,1,2026-03-02 06:32:04,ngasih bintang satu aja gak ikhlas bgt. aplikasi BUOSOK!!! udh coba upload foto kk berkali kali gak bisa. padahal ukuran maks 5mb sedangkan fotonya cuma 117kb. BUOSOK ERAM COK!!!
Dwi Supriyanto,1,2026-02-27 07:40:02,aplikasi tidak banyak membantu.tolong di perbaiki.permudah dlm mengakses perubahan data dlll
Wulandari Kusuma,1,2026-02-25 04:02:41,"pilihan pelayanan tidak lengkap ,biasanya aplikasi pelayanan umum harus ada fax .tanya jawab ini kayak aplikasi tidak komunikatif ,mau pisah KK pilihannya alasan menikah padahal blm menikah ,enak off line drpd online tapi ngak jelas dan Kurang lengkap"
Lilis Lilisrahmawati,5,2026-02-24 11:27:46,gak ada menu e_ktp di apk yang baru
Prabowo Hadi,1,2026-02-17 04:24:26,malah ribet
Ray Alfafifah,1,2026-02-10 09:04:31,"DENGERIN KRITIK KITA!! sistemnya dibenerin lagi, di kasih jadwal rutin pengecekan sistem seperti ""sesuai ga KTP sama nama aslinya"", ""lupa kata sandi"", ""pendaftaran sudah ada (padahal ga pernah)"", aplikasi ini dibuat agar kita maupun para staff tidak dipersulit, bukan berarti tidak ada pengecekan secara rutin terkait aplikasi ini, kalian pindah job juga pengecekan rutin, kalau belum siap buat pindah ke sistem digital mending masih offline aja"
nisa 2006,1,2026-02-10 06:57:46,aplikasi habis di download sehari tdak bisa dibuka..
arief prasetyo,1,2026-02-09 05:38:15,seharusnya lampiran pakai legalisir photocopy sudah cukup karena harus mencari data tahun 1950 orang tua kerepotan. kan juga sistem sudah sinkron.
subkan presetyo SKP 15.2,1,2026-02-09 01:37:39,aplikasi masih tidak lengkap. susah bikin dokumen. mau ngurus offline di suruh online. tiba online gagal terus.
leftisa werdani,5,2026-02-03 11:22:06,"selalu urus akta lahir anak dan KK baru lewat sidenok. aplikasi ini sangat membantu , tidak perlu surat RT RW , tinggal foto dokumen tunggu 4-5 hari lgsg ada email masuk. padahal status di pengajuan masih proses. aplikasi no ribet ribet 👍👍👍👍"
Dwi Yadi,1,2026-02-02 09:04:15,unuseless
jeri Wahyu,1,2026-01-30 19:35:20,malah gak bisa dibuka
R&B,2,2026-01-28 11:36:23,"Aplikasi cacat, tidak bisa dibuka dan sering eror, tidak membantu sama sekali. Ujung²nya harus urus sendiri ke Dukcapil nya"
Isti Comah,2,2026-01-27 12:33:14,"ngurus akta kematian org tua,yg beda KK sendirian ....ribet bgt,Krn nik terkunci otomatis dll..data pelapor gmn ngisinya NIK-nya klau SDH terkunci...pengen LBH praktis digital tapi LBH ribet ,pdhl ngisi data perlu meluangkan waktu,apalagi yg ngisi pelupa dan S..terus pegawainya"
Ayu Liana,2,2026-01-26 08:26:18,"kalau dari kemajuan era digital ini sudah bagus, mungkin saya bisa kasih bintang 5 tapi pada masalah prosesnya untuk verifikasi terlalu lama, kalau untuk pelayanan online seharusnya bisa lebih cepat daripada manual, apalagi kalau sekarang ke kelurahan saja sudah diminta dialihkan ke online katanya tidak bisa kalau manual."
roni fauzan,1,2026-01-26 03:45:51,proses lambat
Tirta Adi Wijaya,1,2026-01-21 23:05:32,Kesalahan saya sendiri adalah Nama lengkapnya salah dan tidak dapat diubah yah blunder yang sangat fatal
Rupiah Ku,1,2026-01-21 03:02:49,sekarang tambah sulut mau ambil di ambilkan orang lain gak bisa padahal data di bawa asli semua
Hendy JP,1,2026-01-15 10:39:13,aplikasi tidak sesuai harapan. pembuatan KIA via aplikasi hanya mendapat kode pelayanan. tidak ada barcode baik di email maupun WA. petugas dukcapil hanya melayani yang membawa berkas berupa barcode
rasnalia Salsabila,1,2026-01-09 05:44:50,"aplikasinya bisa di gunakan tidak sih, login dari kemarin tidak bisa terus, sampe hp 3 tak coba semua tetep gak bisa login nanti kalo offline suruh daftar online ganti an online sudah buat login"
mohammad rizky rhomadhon,1,2026-01-08 11:18:55,aplikasi bapuk. sekelas pemerintah dana elit. aplikasi bapuk. yg paham2 saja. untuk masuk buka saja gagal trus. . engk jelas.
Iksan Mistari Santoso,1,2026-01-07 03:23:11,"aplikasi tidak berguna sama sekali , untuk daftar / login saja tidak bisa."
harun PTK,1,2026-01-06 04:42:27,lupa password ribet urusannya.. aplikasi pemerintah kok gini.
Yohana Oktaviani,1,2026-01-06 00:49:44,ini cara ngurus KTP rusak gimana ya kok di menu cuma ada playanan akta kelahiran akta kematian kartu Identitas anak perubahan biodata kartu keluarga perpindahan keluar kedatangan akta cerai lainnya udah itu aja terus cara ngurus KTP rusak gimana tolong di jawab
Laras Anditia,1,2026-01-04 13:09:11,mau nyoret nama bapak yg meninggal dipersulit. padahal ngurus dari 2021. datang ke kantor langsung suruh ngurus online tapi ngurus online juga ga bener sistemnya bikin muak
Dodok Ndodok,1,2026-01-04 10:56:11,Iki piye
Lila Yuliana,5,2026-01-04 00:42:02,Ngurus pindah kedatangan lewat aplikasi ini. Asalkan syarat lengkap semua proses jadi sat set. Hemat waktu. Semoga semakin berkembang aplikasi ini.
eL 05,2,2026-01-03 10:16:08,kenapa aplikasinya tidak bisa dibuka ya...
Ar. Nidho,1,2026-01-03 01:27:58,"barusan download tapi gak bisa dibuka ciman layar putih terus keluar sendiri, piye ki"
Arini Tika,1,2026-01-02 22:41:04,kenapa tidak bisa d buka
Nuroh Oh,1,2026-01-02 14:35:46,"sering eror dan sudah di uplod harus di uplod lagi , tdk menyelesaikan masalah"
